Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Rows,Row hiding,Step 4: Set up copy and paste behavior,example6,https://handsontable.com/docs/vue-data-grid/row-hiding/#example6,prod,PASS,,PASS,
Rows,Row moving,Enable the ManualRowMove plugin,example1,https://handsontable.com/docs/vue-data-grid/row-moving/#example1,prod,PASS,,PASS,
Rows,Row freezing,Example,example1,https://handsontable.com/docs/vue-data-grid/row-freezing/#example1,prod,PASS,,PASS,
Rows,Row heights,Set row heights to a number,example1,https://handsontable.com/docs/vue-data-grid/row-height/#example1,prod,PASS,,PASS,
Rows,Row heights,Set row heights with an array,example2,https://handsontable.com/docs/vue-data-grid/row-height/#example2,prod,PASS,,PASS,
Rows,Row heights,Set row heights with a function,example3,https://handsontable.com/docs/vue-data-grid/row-height/#example3,prod,PASS,,PASS,
Rows,Row heights,Adjust row heights manually,example4,https://handsontable.com/docs/vue-data-grid/row-height/#example4,prod,PASS,,PASS,
Rows,Row virtualization,Configuring row virtualization,example1,https://handsontable.com/docs/vue-data-grid/row-virtualization/#example1,prod,PASS,,PASS,
Rows,Rows sorting,Sorting demo,exampleSortingDemo,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleSortingDemo,prod,PASS,,PASS,
Rows,Rows sorting,Enable sorting,exampleEnableSortingForColumns,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleEnableSortingForColumns,prod,PASS,,PASS,
Rows,Rows sorting,Sort different types of data,exampleSortDifferentTypes,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleSortDifferentTypes,prod,PASS,,PASS,
Rows,Rows sorting,Use sorting hooks,exampleSortingHooks,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/rows-sorting/#exampleSortingHooks,dev (staging),PASS,,PASS,
Rows,Rows sorting,Exclude rows from sorting,exampleExcludeRowsFromSorting,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleExcludeRowsFromSorting,prod,PASS,,PASS,
Rows,Rows sorting,Sort data programmatically,exampleSortByAPI,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleSortByAPI,prod,PASS,,PASS,
Rows,Rows sorting,Sort by multiple columns,exampleSortByMultipleColumns,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleSortByMultipleColumns,prod,PASS,,PASS,
Rows,Rows sorting,Set an initial multi-column sort order,exampleInitialSortOrder,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleInitialSortOrder,prod,PASS,,PASS,
Rows,Rows sorting,Sort by multiple columns programmatically,exampleSortByAPIMultipleColumns,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleSortByAPIMultipleColumns,prod,PASS,,PASS,
Rows,Rows sorting,Add custom sort icons,exampleCustomSortIcons,https://handsontable.com/docs/vue-data-grid/rows-sorting/#exampleCustomSortIcons,prod,PASS,,PASS,
